sequence_id,game_id,trial_num,trial_name,condition,agent_type,agent_start_position,tree_positions,tree_rewards,tree_visibility,rows,cols,total_steps,berries_needed,agent_path_num_trees,agent_path_tree_positions,agent_path_tree_rewards,agent_path_tree_visibility,agent_path_reward,agent_path_succeeded,predicted_path_num_trees,predicted_path_num_overlapping_trees,predicted_path_tree_positions,predicted_path_tree_rewards,predicted_path_tree_visibility,predict_time_spent,observe_time_spent,practice_sequence_time_spent
9706-fa8f703a-8a39-472a-9e64-d029e03e6429,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,4,trial_806,causal_selection,optimist,"[1, 1]","[[1, 2], [1, 7], [10, 4], [2, 10], [4, 8], [8, 2], [8, 5], [10, 9], [3, 6], [4, 4]]","[5, 8, 1, 5, 8, 3, 4, 6, 5, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,10,10,20,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",21,True,3,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",12617.0,9193.0,21812.0
1832-17b0dee0-851c-428e-ac9e-013cedc9b924,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,5,trial_830,causal_selection,optimist,"[10, 10]","[[5, 9], [8, 2], [6, 3], [1, 3], [10, 4], [7, 8], [10, 9], [3, 10], [10, 1], [9, 1]]","[7, 6, 9, 4, 4, 8, 3, 5, 2, 9]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",10,10,10,20,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",18,False,4,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",15077.0,9594.0,24673.0
8865-ca737c65-429a-4ed5-84c3-37c652d6ab26,0219-b4330982-2196-4772-96fb-e12405ff8a83,0,trial_761,environment_causal,pessimist,"[1, 1]","[[6, 6], [2, 8], [6, 4], [4, 2], [8, 8], [8, 9], [1, 4], [4, 4], [10, 8], [7, 10]]","[9, 7, 9, 5, 4, 4, 2, 4, 3, 8]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,10,10,20,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",27,True,4,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",29333.0,9617.0,38955.0
5108-5506c804-ed2b-4ae5-aa97-104cc87f162b,0219-b4330982-2196-4772-96fb-e12405ff8a83,1,trial_830,environment_causal,optimist,"[10, 10]","[[5, 9], [8, 2], [6, 3], [1, 3], [10, 4], [7, 8], [10, 9], [3, 10], [10, 1], [9, 1]]","[7, 6, 9, 4, 4, 8, 3, 5, 2, 9]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",10,10,10,20,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",18,False,4,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",60471.0,9604.0,70078.0
8656-77bf9d7c-b775-4d31-9b4a-f8d7e8ecd353,0219-b4330982-2196-4772-96fb-e12405ff8a83,2,trial_980,environment_causal,optimist,"[1, 1]","[[6, 4], [8, 5], [9, 8], [2, 6], [4, 8], [2, 1], [1, 5], [10, 4], [7, 3], [5, 8]]","[5, 6, 4, 1, 3, 3, 3, 5, 9, 6]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",10,10,10,20,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",7,False,3,2,"[[2, 1], [2, 6], [4, 8]]","[3, 1, 3]","[1, 0, 0]",24986.0,9198.0,34186.0
3502-5ae3fa88-83a1-4d78-a446-c5bd6c5f5aa8,0219-b4330982-2196-4772-96fb-e12405ff8a83,3,trial_536,environment_causal,pessimist,"[10, 10]","[[8, 1], [3, 1], [6, 1], [9, 10], [4, 1], [5, 1], [5, 5], [3, 3], [9, 4], [2, 8]]","[4, 7, 1, 9, 1, 3, 8, 8, 8, 1]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",17,False,2,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",35416.0,8815.0,44234.0
2564-2d9839f7-ea6b-4232-8579-3b14cd49d974,0219-b4330982-2196-4772-96fb-e12405ff8a83,4,trial_458,environment_causal,pessimist,"[10, 10]","[[1, 2], [9, 4], [3, 10], [10, 3], [8, 7], [3, 2], [10, 2], [5, 5], [3, 1], [4, 6]]","[8, 5, 3, 2, 8, 4, 6, 6, 9, 7]","[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",10,10,10,20,2,"[[8, 7], [4, 6]]","[8, 7]","[1, 1]",15,False,2,1,"[[8, 7], [9, 4]]","[8, 5]","[1, 1]",30621.0,8817.0,39440.0
3858-fd467a66-3d1f-4e47-bb43-df3debfc4162,0219-b4330982-2196-4772-96fb-e12405ff8a83,5,trial_806,environment_causal,optimist,"[1, 1]","[[1, 2], [1, 7], [10, 4], [2, 10], [4, 8], [8, 2], [8, 5], [10, 9], [3, 6], [4, 4]]","[5, 8, 1, 5, 8, 3, 4, 6, 5, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,10,10,20,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",21,True,3,2,"[[1, 2], [3, 6], [4, 8]]","[5, 5, 8]","[1, 1, 1]",24988.0,9194.0,34184.0
4302-7f0fc9d9-15e9-49eb-8d53-3474ef8480b0,0351-abd8415e-0f2a-43b2-9332-d6f66b025a62,0,trial_761,environment_counterfactual,pessimist,"[1, 1]","[[6, 6], [2, 8], [6, 4], [4, 2], [8, 8], [8, 9], [1, 4], [4, 4], [10, 8], [7, 10]]","[9, 7, 9, 5, 4, 4, 2, 4, 3, 8]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,10,10,20,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",27,True,4,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",10203.0,9663.0,19880.0
3315-ecafa22b-e36d-4235-825b-bf5ba53c248a,0351-abd8415e-0f2a-43b2-9332-d6f66b025a62,1,trial_458,environment_counterfactual,pessimist,"[10, 10]","[[1, 2], [9, 4], [3, 10], [10, 3], [8, 7], [3, 2], [10, 2], [5, 5], [3, 1], [4, 6]]","[8, 5, 3, 2, 8, 4, 6, 6, 9, 7]","[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",10,10,10,20,2,"[[8, 7], [4, 6]]","[8, 7]","[1, 1]",15,False,1,0,"[[5, 5]]",[6],[1],26325.0,8805.0,35135.0
5133-ee1b031a-40be-497c-8442-7cb70b6f43a3,0351-abd8415e-0f2a-43b2-9332-d6f66b025a62,2,trial_536,environment_counterfactual,pessimist,"[10, 10]","[[8, 1], [3, 1], [6, 1], [9, 10], [4, 1], [5, 1], [5, 5], [3, 3], [9, 4], [2, 8]]","[4, 7, 1, 9, 1, 3, 8, 8, 8, 1]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",17,False,2,1,"[[9, 10], [9, 4]]","[9, 8]","[1, 0]",8788.0,8828.0,17619.0
7401-9f8c0f9c-ea75-4dcd-b328-9f1aa8f8c525,0351-abd8415e-0f2a-43b2-9332-d6f66b025a62,3,trial_980,environment_counterfactual,optimist,"[1, 1]","[[6, 4], [8, 5], [9, 8], [2, 6], [4, 8], [2, 1], [1, 5], [10, 4], [7, 3], [5, 8]]","[5, 6, 4, 1, 3, 3, 3, 5, 9, 6]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",10,10,10,20,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",7,False,3,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",14863.0,9224.0,24089.0
6954-2f323e2d-4e13-47ae-bcb6-d88cdf9e2fb5,0351-abd8415e-0f2a-43b2-9332-d6f66b025a62,4,trial_830,environment_counterfactual,optimist,"[10, 10]","[[5, 9], [8, 2], [6, 3], [1, 3], [10, 4], [7, 8], [10, 9], [3, 10], [10, 1], [9, 1]]","[7, 6, 9, 4, 4, 8, 3, 5, 2, 9]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",10,10,10,20,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",18,False,3,1,"[[10, 9], [7, 8], [5, 9]]","[3, 8, 7]","[1, 1, 1]",7218.0,9643.0,16865.0
5324-f17fc2df-38b4-4239-9b06-9d8186ed9155,0351-abd8415e-0f2a-43b2-9332-d6f66b025a62,5,trial_806,environment_counterfactual,optimist,"[1, 1]","[[1, 2], [1, 7], [10, 4], [2, 10], [4, 8], [8, 2], [8, 5], [10, 9], [3, 6], [4, 4]]","[5, 8, 1, 5, 8, 3, 4, 6, 5, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,10,10,20,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",21,True,3,2,"[[1, 2], [1, 7], [3, 6]]","[5, 8, 5]","[1, 0, 1]",19463.0,9225.0,28693.0
6058-daeeee2a-ce6d-41c7-887f-fe0472304943,0423-3bd92222-c74f-4602-859b-0997775c4586,0,trial_761,environment_causal,pessimist,"[1, 1]","[[6, 6], [2, 8], [6, 4], [4, 2], [8, 8], [8, 9], [1, 4], [4, 4], [10, 8], [7, 10]]","[9, 7, 9, 5, 4, 4, 2, 4, 3, 8]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,10,10,20,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",27,True,4,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",26199.0,9648.0,35852.0
8568-b9cf3915-6832-4ce5-be1e-0c90035812af,0423-3bd92222-c74f-4602-859b-0997775c4586,1,trial_806,environment_causal,optimist,"[1, 1]","[[1, 2], [1, 7], [10, 4], [2, 10], [4, 8], [8, 2], [8, 5], [10, 9], [3, 6], [4, 4]]","[5, 8, 1, 5, 8, 3, 4, 6, 5, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,10,10,20,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",21,True,3,2,"[[1, 2], [3, 6], [4, 8]]","[5, 5, 8]","[1, 1, 1]",25371.0,9240.0,34614.0
0552-a13f8bd0-7d45-4033-8750-cccb0b08ec8e,0423-3bd92222-c74f-4602-859b-0997775c4586,2,trial_980,environment_causal,optimist,"[1, 1]","[[6, 4], [8, 5], [9, 8], [2, 6], [4, 8], [2, 1], [1, 5], [10, 4], [7, 3], [5, 8]]","[5, 6, 4, 1, 3, 3, 3, 5, 9, 6]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",10,10,10,20,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",7,False,3,2,"[[2, 1], [1, 5], [2, 6]]","[3, 3, 1]","[1, 0, 0]",75358.0,9256.0,84618.0
6169-6e99434d-4b6b-4f31-b3e2-31ef2932b7ce,0423-3bd92222-c74f-4602-859b-0997775c4586,3,trial_830,environment_causal,optimist,"[10, 10]","[[5, 9], [8, 2], [6, 3], [1, 3], [10, 4], [7, 8], [10, 9], [3, 10], [10, 1], [9, 1]]","[7, 6, 9, 4, 4, 8, 3, 5, 2, 9]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",10,10,10,20,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",18,False,3,1,"[[10, 9], [7, 8], [5, 9]]","[3, 8, 7]","[1, 1, 1]",26828.0,9622.0,36452.0
0228-88beb1e2-5c55-4d25-b9f1-1e40b600af01,0423-3bd92222-c74f-4602-859b-0997775c4586,4,trial_536,environment_causal,pessimist,"[10, 10]","[[8, 1], [3, 1], [6, 1], [9, 10], [4, 1], [5, 1], [5, 5], [3, 3], [9, 4], [2, 8]]","[4, 7, 1, 9, 1, 3, 8, 8, 8, 1]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",17,False,2,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",21378.0,8903.0,30283.0
2568-15b7425a-ab19-460e-a0d0-8fd5b71d0896,0423-3bd92222-c74f-4602-859b-0997775c4586,5,trial_458,environment_causal,pessimist,"[10, 10]","[[1, 2], [9, 4], [3, 10], [10, 3], [8, 7], [3, 2], [10, 2], [5, 5], [3, 1], [4, 6]]","[8, 5, 3, 2, 8, 4, 6, 6, 9, 7]","[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",10,10,10,20,2,"[[8, 7], [4, 6]]","[8, 7]","[1, 1]",15,False,2,2,"[[8, 7], [4, 6]]","[8, 7]","[1, 1]",24006.0,8810.0,32819.0
6595-d4097690-c8a1-4696-a9cf-2d1c01587457,0527-f15fa803-7b81-4e77-9f14-fa56b296b91c,0,trial_761,environment_counterfactual,pessimist,"[1, 1]","[[6, 6], [2, 8], [6, 4], [4, 2], [8, 8], [8, 9], [1, 4], [4, 4], [10, 8], [7, 10]]","[9, 7, 9, 5, 4, 4, 2, 4, 3, 8]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,10,10,20,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",27,True,4,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",25364.0,9611.0,34978.0
8785-a6a65351-aebe-4c1c-a015-80a4aade0480,0527-f15fa803-7b81-4e77-9f14-fa56b296b91c,1,trial_980,environment_counterfactual,optimist,"[1, 1]","[[6, 4], [8, 5], [9, 8], [2, 6], [4, 8], [2, 1], [1, 5], [10, 4], [7, 3], [5, 8]]","[5, 6, 4, 1, 3, 3, 3, 5, 9, 6]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",10,10,10,20,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",7,False,3,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",13951.0,9210.0,23163.0
4062-03c28e83-4e7d-4f91-946b-026c4439fbc4,0527-f15fa803-7b81-4e77-9f14-fa56b296b91c,2,trial_806,environment_counterfactual,optimist,"[1, 1]","[[1, 2], [1, 7], [10, 4], [2, 10], [4, 8], [8, 2], [8, 5], [10, 9], [3, 6], [4, 4]]","[5, 8, 1, 5, 8, 3, 4, 6, 5, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,10,10,20,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",21,True,3,2,"[[1, 2], [3, 6], [4, 8]]","[5, 5, 8]","[1, 1, 1]",33265.0,9213.0,42480.0
3558-0a8c87c5-3d0f-4e69-88d9-b06d03cda95d,0527-f15fa803-7b81-4e77-9f14-fa56b296b91c,3,trial_830,environment_counterfactual,optimist,"[10, 10]","[[5, 9], [8, 2], [6, 3], [1, 3], [10, 4], [7, 8], [10, 9], [3, 10], [10, 1], [9, 1]]","[7, 6, 9, 4, 4, 8, 3, 5, 2, 9]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",10,10,10,20,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",18,False,3,1,"[[10, 9], [7, 8], [5, 9]]","[3, 8, 7]","[1, 1, 1]",43132.0,9616.0,52750.0
8254-6ae3767d-7344-4c08-ba65-74b5fd22049a,0527-f15fa803-7b81-4e77-9f14-fa56b296b91c,4,trial_458,environment_counterfactual,pessimist,"[10, 10]","[[1, 2], [9, 4], [3, 10], [10, 3], [8, 7], [3, 2], [10, 2], [5, 5], [3, 1], [4, 6]]","[8, 5, 3, 2, 8, 4, 6, 6, 9, 7]","[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",10,10,10,20,2,"[[8, 7], [4, 6]]","[8, 7]","[1, 1]",15,False,2,2,"[[8, 7], [4, 6]]","[8, 7]","[1, 1]",11500.0,8815.0,20317.0
3408-2b0a61ac-b4d1-4d8b-816c-c396c0ec4dd5,0527-f15fa803-7b81-4e77-9f14-fa56b296b91c,5,trial_536,environment_counterfactual,pessimist,"[10, 10]","[[8, 1], [3, 1], [6, 1], [9, 10], [4, 1], [5, 1], [5, 5], [3, 3], [9, 4], [2, 8]]","[4, 7, 1, 9, 1, 3, 8, 8, 8, 1]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",17,False,2,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",12533.0,8814.0,21349.0
8481-1d0a4af4-f6d8-4d6b-8cef-d6ba4e51ea66,0528-f50502d2-bd41-4096-a2f9-7a55a566a760,0,trial_830,environment_counterfactual,optimist,"[10, 10]","[[5, 9], [8, 2], [6, 3], [1, 3], [10, 4], [7, 8], [10, 9], [3, 10], [10, 1], [9, 1]]","[7, 6, 9, 4, 4, 8, 3, 5, 2, 9]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",10,10,10,20,4,"[[10, 9], [10, 4], [10, 1], [9, 1]]","[3, 4, 2, 9]","[1, 1, 0, 0]",18,False,2,0,"[[7, 8], [5, 9]]","[8, 7]","[1, 1]",70355.0,9636.0,79998.0
7870-5d06ffb5-2e55-43df-956f-3c61afc35784,0528-f50502d2-bd41-4096-a2f9-7a55a566a760,1,trial_980,environment_counterfactual,optimist,"[1, 1]","[[6, 4], [8, 5], [9, 8], [2, 6], [4, 8], [2, 1], [1, 5], [10, 4], [7, 3], [5, 8]]","[5, 6, 4, 1, 3, 3, 3, 5, 9, 6]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",10,10,10,20,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",7,False,3,3,"[[1, 5], [2, 6], [4, 8]]","[3, 1, 3]","[0, 0, 0]",24734.0,9211.0,33948.0
7322-bec8c463-cdc7-4c38-afe8-243d18005f75,0528-f50502d2-bd41-4096-a2f9-7a55a566a760,2,trial_806,environment_counterfactual,optimist,"[1, 1]","[[1, 2], [1, 7], [10, 4], [2, 10], [4, 8], [8, 2], [8, 5], [10, 9], [3, 6], [4, 4]]","[5, 8, 1, 5, 8, 3, 4, 6, 5, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,10,10,20,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",21,True,3,3,"[[1, 2], [1, 7], [4, 8]]","[5, 8, 8]","[1, 0, 1]",13966.0,9209.0,23178.0
2012-b32ddb14-2067-45d9-9d62-beedde1127ba,0528-f50502d2-bd41-4096-a2f9-7a55a566a760,3,trial_536,environment_counterfactual,pessimist,"[10, 10]","[[8, 1], [3, 1], [6, 1], [9, 10], [4, 1], [5, 1], [5, 5], [3, 3], [9, 4], [2, 8]]","[4, 7, 1, 9, 1, 3, 8, 8, 8, 1]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",17,False,2,2,"[[9, 10], [5, 5]]","[9, 8]","[1, 1]",10583.0,8812.0,19397.0
2284-9734794b-ba20-4757-9319-dd40fd29f490,0528-f50502d2-bd41-4096-a2f9-7a55a566a760,4,trial_761,environment_counterfactual,pessimist,"[1, 1]","[[6, 6], [2, 8], [6, 4], [4, 2], [8, 8], [8, 9], [1, 4], [4, 4], [10, 8], [7, 10]]","[9, 7, 9, 5, 4, 4, 2, 4, 3, 8]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,10,10,20,4,"[[4, 2], [4, 4], [6, 4], [6, 6]]","[5, 4, 9, 9]","[1, 1, 1, 1]",27,True,3,3,"[[4, 2], [6, 4], [6, 6]]","[5, 9, 9]","[1, 1, 1]",10866.0,9642.0,20511.0
