sequence_id,game_id,trial_num,trial_name,condition,agent_type,agent_start_position,tree_positions,tree_rewards,tree_visibility,rows,cols,total_steps,berries_needed,agent_path_num_trees,agent_path_tree_positions,agent_path_tree_rewards,agent_path_tree_visibility,agent_path_reward,agent_path_succeeded,trait_counterfactual_slider,environment_counterfactual_slider,trait_causal_slider,environment_causal_slider,causal_selection_slider,observe_time_spent,evaluate_time_spent,judgment_sequence_time_spent
0192-6bb96242-9ebf-4f5a-88b9-420329b01537,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,10,trial_406,environment_counterfactual,pessimist,"[1, 1]","[[4, 1], [2, 10], [2, 1], [5, 8], [8, 8], [10, 5], [1, 9], [1, 6], [6, 10], [5, 10]]","[2, 5, 1, 1, 1, 4, 8, 5, 6, 8]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",10,10,10,20,3,"[[1, 6], [1, 9], [2, 10]]","[5, 8, 5]","[1, 1, 1]",18,False,,30.0,,,,8751.0,7591.0,16344.0
3226-72e5cb60-10aa-4c07-aa1c-c01c28807864,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,11,trial_962,environment_counterfactual,pessimist,"[1, 1]","[[6, 6], [3, 7], [10, 6], [4, 2], [9, 6], [7, 9], [5, 8], [1, 3], [4, 8], [2, 3]]","[3, 8, 3, 7, 2, 8, 6, 6, 2, 7]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",10,10,10,20,2,"[[4, 2], [3, 7]]","[7, 8]","[1, 1]",15,False,,96.0,,,,8331.0,15774.0,24107.0
6778-4c152e6f-6696-4337-a3ea-7ad096fbbf5e,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,12,trial_859,environment_counterfactual,pessimist,"[1, 1]","[[9, 5], [8, 1], [1, 2], [2, 8], [2, 7], [6, 10], [8, 5], [5, 7], [10, 9], [6, 8]]","[4, 5, 6, 8, 1, 1, 4, 7, 9, 6]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",10,10,10,20,3,"[[1, 2], [2, 7], [2, 8]]","[6, 1, 8]","[1, 1, 1]",15,False,,30.0,,,,7851.0,29871.0,37724.0
0973-fee13c81-b0ab-4f64-a417-b1d0c1215656,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,13,trial_825,environment_counterfactual,optimist,"[10, 10]","[[10, 4], [3, 1], [10, 7], [3, 5], [7, 4], [1, 6], [1, 10], [5, 4], [2, 10], [6, 7]]","[5, 8, 7, 7, 4, 2, 7, 8, 8, 3]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1]",10,10,10,20,3,"[[10, 7], [10, 4], [7, 4]]","[7, 5, 4]","[1, 0, 1]",16,False,,78.0,,,,8278.0,15335.0,23616.0
3140-75bcd81a-1578-4428-a64b-ccef9da1c8f7,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,14,trial_318,environment_counterfactual,optimist,"[10, 10]","[[1, 9], [9, 10], [3, 10], [9, 2], [2, 2], [8, 9], [2, 6], [9, 1], [3, 3], [6, 3]]","[9, 8, 4, 9, 6, 2, 8, 1, 4, 7]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",10,10,10,20,3,"[[9, 10], [8, 9], [1, 9]]","[8, 2, 9]","[1, 0, 1]",19,False,,73.0,,,,8737.0,24596.0,33335.0
8388-6c7c5770-4ab6-42b4-9220-bb422459b786,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,15,trial_863,environment_counterfactual,optimist,"[1, 1]","[[4, 8], [2, 6], [9, 7], [10, 2], [3, 10], [6, 7], [6, 5], [7, 5], [3, 6], [5, 2]]","[6, 8, 1, 7, 2, 9, 1, 8, 1, 7]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",10,10,10,20,3,"[[5, 2], [6, 5], [7, 5]]","[7, 1, 8]","[0, 1, 1]",16,False,,23.0,,,,8763.0,10161.0,18926.0
7250-5eac0a93-8ce7-42a3-ab2b-d5e04bda99ee,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,16,trial_989,environment_counterfactual,pessimist,"[1, 1]","[[2, 9], [8, 9], [8, 10], [4, 8], [5, 7], [8, 6], [7, 4], [1, 6], [1, 10], [2, 10]]","[1, 2, 4, 9, 7, 8, 3, 7, 5, 9]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",10,10,10,20,3,"[[1, 6], [1, 10], [2, 10]]","[7, 5, 9]","[0, 1, 1]",21,True,,1.0,,,,8750.0,5861.0,14613.0
0206-86f87179-b78f-46d5-a7c3-cada0348aad1,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,17,trial_82,environment_counterfactual,pessimist,"[1, 1]","[[2, 7], [4, 8], [3, 6], [1, 8], [5, 4], [1, 3], [9, 7], [8, 2], [8, 4], [7, 3]]","[1, 2, 6, 7, 7, 5, 8, 7, 3, 8]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 1]",10,10,10,20,3,"[[1, 3], [5, 4], [7, 3]]","[5, 7, 8]","[0, 1, 1]",20,True,,80.0,,,,8750.0,7128.0,15880.0
6823-79f7e78c-793c-4c23-b449-7cbe465ba597,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,18,trial_269,environment_counterfactual,pessimist,"[1, 1]","[[3, 4], [2, 5], [9, 1], [3, 9], [10, 9], [5, 1], [5, 10], [3, 7], [5, 4], [6, 7]]","[4, 7, 2, 8, 4, 6, 9, 7, 3, 3]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",10,10,10,20,3,"[[3, 4], [3, 7], [3, 9]]","[4, 7, 8]","[1, 1, 1]",19,False,,0.0,,,,8738.0,30072.0,38812.0
7142-a3239e40-85a9-47cc-8972-449b8a771682,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,19,trial_740,environment_counterfactual,pessimist,"[1, 1]","[[7, 5], [7, 1], [3, 5], [8, 7], [7, 7], [3, 3], [5, 2], [2, 9], [1, 2], [1, 9]]","[8, 2, 6, 7, 1, 4, 8, 3, 8, 3]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",10,10,10,20,3,"[[1, 2], [5, 2], [7, 5]]","[8, 8, 8]","[1, 1, 1]",24,True,,66.0,,,,8731.0,8322.0,17055.0
7286-4aa2685c-dadd-4041-8a59-c33a36eae400,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,0,trial_553,causal_selection,optimist,"[10, 10]","[[3, 8], [4, 10], [3, 1], [9, 3], [6, 4], [5, 7], [8, 8], [10, 9], [6, 9], [4, 4]]","[7, 4, 6, 6, 1, 6, 8, 8, 5, 9]","[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",10,10,10,20,4,"[[10, 9], [8, 8], [6, 9], [4, 10]]","[8, 8, 5, 4]","[1, 1, 0, 0]",25,True,,,,,33.0,9106.0,14121.0,23228.0
3133-8868c4d5-1393-453b-8699-aad6cffdbca5,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,1,trial_859,causal_selection,pessimist,"[1, 1]","[[9, 5], [8, 1], [1, 2], [2, 8], [2, 7], [6, 10], [8, 5], [5, 7], [10, 9], [6, 8]]","[4, 5, 6, 8, 1, 1, 4, 7, 9, 6]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",10,10,10,20,3,"[[1, 2], [2, 7], [2, 8]]","[6, 1, 8]","[1, 1, 1]",15,False,,,,,29.0,7798.0,10373.0,18171.0
4406-71082504-9ef2-4365-b11b-9d34258e7313,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,2,trial_863,causal_selection,optimist,"[1, 1]","[[4, 8], [2, 6], [9, 7], [10, 2], [3, 10], [6, 7], [6, 5], [7, 5], [3, 6], [5, 2]]","[6, 8, 1, 7, 2, 9, 1, 8, 1, 7]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",10,10,10,20,3,"[[5, 2], [6, 5], [7, 5]]","[7, 1, 8]","[0, 1, 1]",16,False,,,,,28.0,8702.0,44121.0,52823.0
6498-fe79f760-e734-4363-b9f1-7c0a9d8e724b,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,3,trial_318,causal_selection,optimist,"[10, 10]","[[1, 9], [9, 10], [3, 10], [9, 2], [2, 2], [8, 9], [2, 6], [9, 1], [3, 3], [6, 3]]","[9, 8, 4, 9, 6, 2, 8, 1, 4, 7]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",10,10,10,20,3,"[[9, 10], [8, 9], [1, 9]]","[8, 2, 9]","[1, 0, 1]",19,False,,,,,80.0,11374.0,21315.0,32690.0
6744-5f22964c-0bb6-4ed3-9a49-d357b1febe9c,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,4,trial_269,causal_selection,pessimist,"[1, 1]","[[3, 4], [2, 5], [9, 1], [3, 9], [10, 9], [5, 1], [5, 10], [3, 7], [5, 4], [6, 7]]","[4, 7, 2, 8, 4, 6, 9, 7, 3, 3]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",10,10,10,20,3,"[[3, 4], [3, 7], [3, 9]]","[4, 7, 8]","[1, 1, 1]",19,False,,,,,57.0,8699.0,6970.0,15670.0
8109-1695a962-2d49-4dbd-bf4b-e559650e7f94,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,5,trial_962,causal_selection,pessimist,"[1, 1]","[[6, 6], [3, 7], [10, 6], [4, 2], [9, 6], [7, 9], [5, 8], [1, 3], [4, 8], [2, 3]]","[3, 8, 3, 7, 2, 8, 6, 6, 2, 7]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",10,10,10,20,2,"[[4, 2], [3, 7]]","[7, 8]","[1, 1]",15,False,,,,,20.0,8301.0,5994.0,14295.0
0292-1e4c7110-a259-4bf7-8593-f86476c272dd,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,6,trial_920,causal_selection,optimist,"[1, 1]","[[1, 5], [2, 3], [9, 9], [3, 7], [5, 6], [9, 3], [9, 10], [2, 10], [10, 9], [1, 9]]","[5, 7, 4, 6, 3, 2, 9, 8, 2, 7]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",10,10,10,20,3,"[[1, 5], [1, 9], [2, 10]]","[5, 7, 8]","[1, 1, 0]",20,True,,,,,29.0,8727.0,8946.0,17674.0
8607-22d189ec-9547-44f3-aff6-aaaf2295fd33,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,7,trial_825,causal_selection,optimist,"[10, 10]","[[10, 4], [3, 1], [10, 7], [3, 5], [7, 4], [1, 6], [1, 10], [5, 4], [2, 10], [6, 7]]","[5, 8, 7, 7, 4, 2, 7, 8, 8, 3]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1]",10,10,10,20,3,"[[10, 7], [10, 4], [7, 4]]","[7, 5, 4]","[1, 0, 1]",16,False,,,,,19.0,8251.0,44882.0,53133.0
8041-d886efb2-867b-498b-8ceb-beb30b93154c,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,8,trial_453,causal_selection,optimist,"[1, 1]","[[3, 6], [1, 7], [1, 2], [9, 4], [6, 5], [6, 6], [2, 3], [10, 1], [5, 7], [10, 6]]","[8, 6, 3, 7, 9, 3, 4, 7, 8, 8]","[1, 0, 1, 1, 1, 0, 0, 0, 1, 1]",10,10,10,20,4,"[[1, 2], [2, 3], [6, 5], [6, 6]]","[3, 4, 9, 3]","[1, 0, 1, 0]",19,False,,,,,86.0,9125.0,48684.0,57810.0
6010-bbd6b85f-7bd7-43d1-9b35-9aa887df8524,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,9,trial_740,causal_selection,pessimist,"[1, 1]","[[7, 5], [7, 1], [3, 5], [8, 7], [7, 7], [3, 3], [5, 2], [2, 9], [1, 2], [1, 9]]","[8, 2, 6, 7, 1, 4, 8, 3, 8, 3]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",10,10,10,20,3,"[[1, 2], [5, 2], [7, 5]]","[8, 8, 8]","[1, 1, 1]",24,True,,,,,58.0,8700.0,8204.0,16905.0
6175-788d0dce-f021-48f1-90c9-af46b1492d15,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,10,trial_13_v2,causal_selection,optimist,"[10, 10]","[[7, 5], [5, 3], [4, 3], [9, 10], [1, 9], [1, 10], [6, 4], [1, 6], [1, 3], [5, 9]]","[4, 1, 1, 7, 7, 9, 3, 8, 9, 5]","[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",10,10,10,20,3,"[[9, 10], [1, 10], [1, 9]]","[7, 9, 7]","[0, 0, 1]",23,True,,,,,26.0,8715.0,10390.0,19106.0
7199-57503ae0-2bee-496a-afe8-968be4757a23,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,11,trial_374,causal_selection,optimist,"[1, 1]","[[8, 2], [3, 5], [1, 5], [9, 9], [5, 6], [5, 3], [10, 8], [6, 4], [8, 3], [4, 10]]","[3, 8, 4, 4, 2, 3, 3, 4, 6, 3]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",10,10,10,20,3,"[[5, 3], [8, 3], [8, 2]]","[3, 6, 3]","[0, 0, 0]",12,False,,,,,61.0,8701.0,4613.0,13314.0
0723-245cbe33-19a5-4384-a8b7-a13ac8758710,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,12,trial_556,causal_selection,pessimist,"[1, 1]","[[5, 9], [8, 6], [4, 8], [9, 8], [10, 2], [7, 8], [3, 5], [4, 1], [2, 8], [7, 1]]","[6, 3, 3, 5, 5, 2, 4, 2, 6, 2]","[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",10,10,10,20,2,"[[3, 5], [2, 8]]","[4, 6]","[1, 1]",10,False,,,,,46.0,8302.0,28728.0,37030.0
5558-e621320c-4727-4036-83f6-469b12f03e5b,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,13,trial_894,causal_selection,optimist,"[10, 10]","[[5, 8], [7, 8], [7, 2], [9, 8], [10, 6], [5, 10], [5, 6], [9, 9], [6, 10], [8, 8]]","[2, 8, 4, 4, 6, 7, 6, 1, 2, 1]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",10,10,10,20,7,"[[9, 9], [9, 8], [8, 8], [7, 8], [5, 8], [5, 10], [6, 10]]","[1, 4, 1, 8, 2, 7, 2]","[1, 1, 1, 1, 1, 0, 0]",25,True,,,,,0.0,10321.0,9935.0,20257.0
2761-42ab2ae1-3740-4486-95fe-36b5f365591d,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,14,trial_955,causal_selection,pessimist,"[10, 10]","[[2, 2], [4, 8], [10, 5], [2, 8], [7, 9], [1, 5], [4, 10], [2, 6], [7, 2], [3, 8]]","[1, 1, 7, 8, 1, 4, 5, 4, 5, 6]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,4,"[[4, 10], [4, 8], [3, 8], [2, 8]]","[5, 1, 6, 8]","[1, 1, 1, 1]",20,True,,,,,53.0,9099.0,9095.0,18195.0
6808-8eb7d076-10db-4246-a209-a2a9bcd391fa,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,15,trial_82,causal_selection,pessimist,"[1, 1]","[[2, 7], [4, 8], [3, 6], [1, 8], [5, 4], [1, 3], [9, 7], [8, 2], [8, 4], [7, 3]]","[1, 2, 6, 7, 7, 5, 8, 7, 3, 8]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 1]",10,10,10,20,3,"[[1, 3], [5, 4], [7, 3]]","[5, 7, 8]","[0, 1, 1]",20,True,,,,,12.0,8722.0,92716.0,101439.0
6911-c5769526-b68b-4e38-999b-ec080d9fd061,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,16,trial_989,causal_selection,pessimist,"[1, 1]","[[2, 9], [8, 9], [8, 10], [4, 8], [5, 7], [8, 6], [7, 4], [1, 6], [1, 10], [2, 10]]","[1, 2, 4, 9, 7, 8, 3, 7, 5, 9]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",10,10,10,20,3,"[[1, 6], [1, 10], [2, 10]]","[7, 5, 9]","[0, 1, 1]",21,True,,,,,42.0,8698.0,11606.0,20305.0
7038-e6c78d8a-d31c-44c8-abce-b0112e84a174,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,17,trial_629,causal_selection,optimist,"[1, 1]","[[6, 9], [3, 8], [2, 4], [1, 6], [10, 3], [9, 1], [4, 8], [5, 2], [7, 2], [6, 1]]","[7, 9, 3, 5, 5, 7, 6, 9, 4, 7]","[1, 0, 1, 1, 1, 1, 0, 0, 1, 0]",10,10,10,20,3,"[[5, 2], [6, 1], [9, 1]]","[9, 7, 7]","[0, 0, 1]",23,True,,,,,14.0,8724.0,6950.0,15675.0
6286-39472b10-d5e8-41ee-a76e-24307ee48ad2,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,18,trial_406,causal_selection,pessimist,"[1, 1]","[[4, 1], [2, 10], [2, 1], [5, 8], [8, 8], [10, 5], [1, 9], [1, 6], [6, 10], [5, 10]]","[2, 5, 1, 1, 1, 4, 8, 5, 6, 8]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",10,10,10,20,3,"[[1, 6], [1, 9], [2, 10]]","[5, 8, 5]","[1, 1, 1]",18,False,,,,,48.0,8697.0,11118.0,19816.0
8663-60b4139a-a9ec-4998-b038-8d9d3bb7066e,0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,19,trial_528,causal_selection,pessimist,"[1, 1]","[[5, 4], [6, 3], [8, 2], [10, 6], [8, 1], [7, 10], [7, 3], [10, 4], [6, 10], [4, 7]]","[7, 5, 4, 6, 8, 7, 9, 4, 6, 4]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",10,10,10,20,3,"[[5, 4], [6, 3], [7, 3]]","[7, 5, 9]","[1, 1, 1]",21,True,,,,,64.0,8700.0,7943.0,16644.0
3212-3ab42116-76dd-4b08-8215-a19d0b8a643b,0219-b4330982-2196-4772-96fb-e12405ff8a83,0,trial_955,environment_causal,pessimist,"[10, 10]","[[2, 2], [4, 8], [10, 5], [2, 8], [7, 9], [1, 5], [4, 10], [2, 6], [7, 2], [3, 8]]","[1, 1, 7, 8, 1, 4, 5, 4, 5, 6]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,4,"[[4, 10], [4, 8], [3, 8], [2, 8]]","[5, 1, 6, 8]","[1, 1, 1, 1]",20,True,,,,87.0,,9095.0,19600.0,28698.0
4397-d9cd1f08-d906-4b8b-b592-b4c8b3f6f60d,0219-b4330982-2196-4772-96fb-e12405ff8a83,1,trial_962,environment_causal,pessimist,"[1, 1]","[[6, 6], [3, 7], [10, 6], [4, 2], [9, 6], [7, 9], [5, 8], [1, 3], [4, 8], [2, 3]]","[3, 8, 3, 7, 2, 8, 6, 6, 2, 7]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",10,10,10,20,2,"[[4, 2], [3, 7]]","[7, 8]","[1, 1]",15,False,,,,29.0,,8316.0,22736.0,31054.0
7374-3655af0f-4132-441e-a36c-b5f50881a324,0219-b4330982-2196-4772-96fb-e12405ff8a83,2,trial_740,environment_causal,pessimist,"[1, 1]","[[7, 5], [7, 1], [3, 5], [8, 7], [7, 7], [3, 3], [5, 2], [2, 9], [1, 2], [1, 9]]","[8, 2, 6, 7, 1, 4, 8, 3, 8, 3]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",10,10,10,20,3,"[[1, 2], [5, 2], [7, 5]]","[8, 8, 8]","[1, 1, 1]",24,True,,,,81.0,,8713.0,6426.0,15141.0
7698-3c371148-8495-439a-ae7c-3b9ac6733569,0219-b4330982-2196-4772-96fb-e12405ff8a83,3,trial_859,environment_causal,pessimist,"[1, 1]","[[9, 5], [8, 1], [1, 2], [2, 8], [2, 7], [6, 10], [8, 5], [5, 7], [10, 9], [6, 8]]","[4, 5, 6, 8, 1, 1, 4, 7, 9, 6]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",10,10,10,20,3,"[[1, 2], [2, 7], [2, 8]]","[6, 1, 8]","[1, 1, 1]",15,False,,,,70.0,,7797.0,8628.0,16427.0
2097-7a81101c-b927-49d8-8a63-9f378329fb18,0219-b4330982-2196-4772-96fb-e12405ff8a83,4,trial_989,environment_causal,pessimist,"[1, 1]","[[2, 9], [8, 9], [8, 10], [4, 8], [5, 7], [8, 6], [7, 4], [1, 6], [1, 10], [2, 10]]","[1, 2, 4, 9, 7, 8, 3, 7, 5, 9]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",10,10,10,20,3,"[[1, 6], [1, 10], [2, 10]]","[7, 5, 9]","[0, 1, 1]",21,True,,,,15.0,,8713.0,8270.0,16985.0
5426-c6d08d76-964c-48e4-a00a-c635879055ad,0219-b4330982-2196-4772-96fb-e12405ff8a83,5,trial_406,environment_causal,pessimist,"[1, 1]","[[4, 1], [2, 10], [2, 1], [5, 8], [8, 8], [10, 5], [1, 9], [1, 6], [6, 10], [5, 10]]","[2, 5, 1, 1, 1, 4, 8, 5, 6, 8]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",10,10,10,20,3,"[[1, 6], [1, 9], [2, 10]]","[5, 8, 5]","[1, 1, 1]",18,False,,,,33.0,,8709.0,18065.0,26776.0
