game_id,condition,start_instruction_ts,start_practice_ts,start_experiment_ts,end_experiment_ts,practice_procedure_time_spent,evaluation_procedure_time_spent,comprehension_attempts,age,gender,race,ethnicity,judged_difficulty,browser,input_device,feedback,technical_difficulties
4273-94504804-d32c-47a1-ba75-72fbbc33febf,trait_causal,1705712780766.0,1705712943705.0,1705713224209.0,1705713605652.0,280504.0,381443.0,0,51,Male,White,Non-Hispanic,1,chrome,Mouse,,
4388-0349b650-e06f-4f4c-aa92-3056e7f30265,environment_counterfactual,1705726908529.0,1705727025263.0,1705727253808.0,1705727801818.0,228545.0,548010.0,0,44,Male,White,Non-Hispanic,2,chrome,Mouse,"I tried to determine what the most likely path was and see if they would have collected 20 berries or not.  Some of them were obviously yes or no, but some of them depended on what the mystery trees had.  The more berries the mystery trees would have needed in order for 20 to be collected, the less likely I felt the path would be successful",I had no issues.
4405-8e6dfd05-c1b5-49db-87d8-54936ae272c6,causal_selection,1705630939168.0,1705631202553.0,1705631836988.0,1705632215615.0,634435.0,378627.0,0,33,Male,White,Non-Hispanic,2,chrome,Mouse,It was fun to look at the farmers.,None
4431-15e3a4a4-09e6-4beb-b38a-a2d47659b87d,environment_causal,1705713553909.0,1705713673457.0,1705713900497.0,1705714278784.0,227040.0,378287.0,0,23,Male,White,Non-Hispanic,5,chrome,Trackpad,This was so much fun! It was cool trying to figure out which paths hope or prudence would take before they started moving! Cute animations too,No issues at all!
4526-69d444f5-b72f-4e5b-afd0-8b5914ec4c8a,environment_counterfactual,1705720040443.0,1705720182990.0,1705720414145.0,1705721071471.0,231155.0,657326.0,0,33,Female,White,Non-Hispanic,3,chrome,Trackpad,I took into consideration the tendencies of each farmer and did the math.,
4596-81576081-ade2-45ba-9498-225f9afbf1fc,causal_selection,1705626638233.0,1705626703949.0,1705626882279.0,1705627176336.0,178330.0,294057.0,0,22,Female,White,Non-Hispanic,1,chrome,Trackpad,I find it interesting that the study almost seemed to defend pessimism or to at least see it on an equal level as optimisim. Cute graphics too!,
4617-303c11a1-862c-4f64-be3a-9b99b5a1348e,environment_counterfactual,1705720621809.0,1705720730120.0,1705720970165.0,1705721435394.0,240045.0,465229.0,0,33,Male,White,Non-Hispanic,1,firefox,Mouse,I tried to calculate all the possible paths that Hope/Prudence would take and answered accordingly with their fail/success,No issues!
4623-a5ef3cc0-2e5f-4dbe-8602-1c83ab1749c1,trait_causal,1705711822658.0,1705712082288.0,1705712380085.0,1705712841881.0,297797.0,461796.0,0,47,Female,White,Non-Hispanic,3,chrome,Trackpad,,
4633-76f37f32-f2ba-4ec5-8005-296a39ca2cf8,environment_causal,1705713804091.0,1705713978507.0,1705714258450.0,1705714621156.0,279943.0,362706.0,0,47,Female,White,Non-Hispanic,1,chrome,Mouse,,
4640-ff6da905-2e1b-4963-80cf-e547eec10572,trait_counterfactual,1705717987852.0,1705718214607.0,1705718417432.0,1705718972934.0,202825.0,555502.0,0,21,Female,Asian,Non-Hispanic,2,chrome,Mouse,The game was fun.,I did not encounter any technical difficulties.
4888-5e74f447-869b-47b1-a011-bc6b5b2d6d98,environment_counterfactual,1705720717589.0,1705721035639.0,1705721609542.0,1705723097270.0,573903.0,1487728.0,0,52,Female,White,Non-Hispanic,3,chrome,Mouse,I tried to answer based on Hope always taking the unknown numbers and Prudence never taking the unknown numbers.,
4927-21aeb956-95cd-4c29-9cbe-3ead908cc9ad,trait_counterfactual,1705718469087.0,1705719179641.0,1705719488392.0,1705719924444.0,308751.0,436052.0,0,30,Female,White,Non-Hispanic,2,chrome,Mouse,It was interesting,No difficulties
5123-9e1d39f0-cd4e-4742-a680-bacfea4c55de,trait_causal,1705712196863.0,1705712620855.0,1705712971863.0,1705713469202.0,351008.0,497339.0,0,61,Female,White,Non-Hispanic,2,chrome,Trackpad,,
5181-1d54aa94-a772-42bd-8a45-7f45a9c6f989,causal_selection,1705626085938.0,1705626415235.0,1705626804003.0,1705627268779.0,388768.0,464776.0,0,63,Male,White,Non-Hispanic,4,chrome,Mouse,,
5214-48a3f57e-ac63-4405-a2f1-08dbd8484145,environment_counterfactual,1705720358308.0,1705720499810.0,1705720737980.0,1705721185936.0,238170.0,447956.0,0,28,Female,White,Non-Hispanic,2,chrome,Trackpad,math,
5363-b8d49a44-fe29-4a82-99d9-02e67a8be52f,causal_selection,1705626194976.0,1705626896848.0,1705627218452.0,1705627734323.0,321604.0,515871.0,0,49,Female,Multiracial/Mixed,Hispanic,1,chrome,Mouse,,
5386-8a00b6e4-e8c3-4e06-a371-214f0fe29a51,causal_selection,1705626279731.0,1705626483567.0,1705626693342.0,1705627003339.0,209775.0,309997.0,0,43,Female,Black/African American,Non-Hispanic,2,chrome,Trackpad,This was a blast!,
5548-d39fc1b9-1a64-4c70-8367-3d677d54d94f,environment_counterfactual,1705721884105.0,1705722097062.0,1705722363571.0,1705722766359.0,266509.0,402788.0,1,65,Male,White,Non-Hispanic,4,chrome,Mouse,I counted what I could see.,
5580-4ed5f77e-72e4-481e-a685-2c404735f704,environment_causal,1705713266200.0,1705713356048.0,1705713555256.0,1705713985300.0,199208.0,430044.0,0,26,Male,Black/African American,Non-Hispanic,3,chrome,Mouse,,
5597-00a1ecd9-6e85-4733-bfea-fbea7e80c994,trait_counterfactual,1705716485270.0,1705716676890.0,1705716911500.0,1705717372143.0,234610.0,460643.0,0,67,Female,White,Non-Hispanic,2,chrome,Mouse,,
5699-0173a0ed-3079-4913-bb8c-57de2a41f2a4,environment_counterfactual,1705721694397.0,1705722059955.0,1705722529283.0,1705724346846.0,469328.0,1817563.0,0,74,Male,White,Non-Hispanic,4,chrome,Mouse,,
5788-59b52831-9063-4c92-84cd-21e533a5b123,causal_selection,1705626053000.0,1705626476918.0,1705626719388.0,1705627579497.0,242470.0,860109.0,0,33,Male,White,Non-Hispanic,2,chrome,Mouse,I made decisions based on what I thought was correct. I didn't think too hard about it.,No issues
5795-db6bfc5e-dc3b-4798-9302-55604ce7b4f3,environment_causal,1705713654500.0,1705714070720.0,1705714592767.0,1705715110346.0,522047.0,517579.0,1,43,Male,White,Non-Hispanic,3,chrome,Mouse,It was a little complicated but fun,
5858-fe3b0cdb-b04c-4dd5-a29e-0e7aab9723b3,environment_causal,1705713818437.0,1705713832677.0,1705713980431.0,1705714427644.0,147754.0,447213.0,0,35,Male,Other,Non-Hispanic,1,chrome,Mouse,Tried to anticipate where the farmer would have gone if they had the other starting position.,no issues
5864-40c52c21-7b73-4c35-8008-3e4cd05287eb,environment_causal,1705713630819.0,1705713905408.0,1705714310955.0,1705714915387.0,405547.0,604432.0,1,50,Female,White,Non-Hispanic,3,chrome,Mouse,Trying to see what the options would be at the other north or south gate,
5933-0050760e-aea1-4031-b647-24de7775d2e1,trait_causal,1705710919333.0,1705711169999.0,1705711443198.0,1705711822433.0,273199.0,379235.0,0,52,Female,White,Non-Hispanic,1,chrome,Trackpad,,
6031-d8142658-af7c-4d15-9a72-4d9a11141a6d,trait_counterfactual,1705716984455.0,1705717079276.0,1705717490075.0,1705718047821.0,410799.0,557746.0,0,31,Female,Black/African American,Non-Hispanic,2,chrome,Trackpad,I was motivated to guess the correct paths and collect as many berries as possible.,"When I had to give feedback, after the first trial, the study froze and did not move to the response part of the trial, so I had to start over."
6145-b5dd86b9-6d8b-4338-bbd8-6313d29364a6,trait_counterfactual,1705716897437.0,1705717128439.0,1705717843712.0,1705718380726.0,715273.0,537014.0,5,35,Female,White,Non-Hispanic,2,chrome,Mouse,I had fun with it but also tried to figure out the best route to get the most berries.,I did not have any difficulties. 
6149-da4f485f-a26b-46b5-8a71-d6852c7d7c41,trait_causal,1705711746404.0,1705711994921.0,1705712620055.0,1705713091112.0,625134.0,471057.0,1,71,Female,White,Non-Hispanic,4,chrome,Trackpad,I just imaged I was Hope and Prudence,
6186-52950000-ac94-4f5e-bd6f-e715607744bd,environment_counterfactual,1705721696984.0,1705722042167.0,1705722408747.0,1705722951432.0,366580.0,542685.0,0,37,Female,Black/African American,Non-Hispanic,1,chrome,Mouse,I enjoyed taking your study. ,I didn't encounter any difficulties.
6192-7bbb82c0-fb76-4c8a-b7dd-5d6b0414ad1a,environment_causal,1705714151066.0,1705714319077.0,1705714590435.0,1705715081011.0,271358.0,490576.0,0,29,Female,Black/African American,Non-Hispanic,1,chrome,Trackpad,How many berries would have been available for them to get to within 10 steps assuming they started at the opposite entrance. Another factor was how many mystery bushes were utilized or skipped that could have impacted the number of berries they harvested.,
6245-2df17f4f-2feb-44e1-a65d-dc34d7efcee1,trait_causal,1705710987736.0,1705711549678.0,1705711928964.0,1705712424681.0,379286.0,495717.0,0,30,Male,White,Non-Hispanic,1,safari,Trackpad,"If the farmers would have succeed anyway regardless of their strategy, how many berries they harvested and other possible paths they could have taken. The study was fun and interesting at the same time. ",I did not encounter any technical difficulties. 
6282-38f423a6-94d4-4583-87f0-1adb885ca7af,trait_causal,1705712185752.0,1705712321902.0,1705712836685.0,1705713247156.0,514783.0,410471.0,5,33,Female,White,Non-Hispanic,3,chrome,Trackpad,,
6382-b0c17510-37a6-453f-aafb-b3d01aee9821,environment_causal,1705714073555.0,1705714615616.0,1705715288936.0,1705715976904.0,673320.0,687968.0,0,73,Female,White,Non-Hispanic,2,chrome,Mouse,The factors that influenced how I responded were what squares would give the most points and which of these squares were closer to what entrance.,
